node1,node2,node3,Fxx,Fxy,Fyx,Fyy,Pxx,Pxy,Pyx,Pyy
144,441,443,1.1935821602888463,-0.1098707068152418,-0.10528714309059772,1.2342098830662058,1.7678514982526252,-0.013560666199159105,-0.0068781293326390658,1.771710905283939
441,442,443,1.1971595202387781,-0.11738755719561045,-0.11193192302364086,1.2481720834783001,1.8543901399776805,-0.0066711876129394998,0.0016057658602922076,1.8555169528731428
441,199,442,1.194347654626843,-0.12265385691762387,-0.11900879097706252,1.2349179266730723,1.761528412983399,-0.014952930409923459,-0.0096604517779128873,1.7656605021582785
443,442,201,1.1822619262750376,-0.1117173180473936,-0.10674223678350714,1.2461968140383237,1.7657683671633329,-0.014139958903102517,-0.0068924378656720631,1.7719237579304952
199,444,442,1.1986334546230031,-0.13165930165402129,-0.12655492722338479,1.2507740825833995,1.8599728089788572,-0.0063448694767891944,0.0014092842069508837,1.8609694407928368
444,445,442,1.1820312627212908,-0.12534026794318098,-0.1201322437907173,1.2483295166269652,1.7607043275150409,-0.016295867898250216,-0.0087353482747164202,1.7674648642190536
444,200,445,1.1857133451662669,-0.133076715924072,-0.12786323483177675,1.2645731534611944,1.8587118981748376,-0.0066362594053742952,0.0012767593598051463,1.8603316162169619
442,445,201,1.1855811180640579,-0.11869129405094148,-0.11358965250901321,1.2605839648844928,1.8534880894042975,-0.0065559366443059541,0.0011788321713575023,1.8552243409096179
199,446,444,1.1953468709953405,-0.13781469342355024,-0.1341804637927364,1.2364923327924755,1.756942891221656,-0.017260901676629165,-0.01200300636188556,1.7613697237526345
446,447,444,1.1999827367127804,-0.14755570620089964,-0.14265999022293485,1.2543097546802002,1.8658227892761354,-0.0060951328381302905,0.0013503632937553744,1.8667109878934567
446,153,447,1.1965021714786648,-0.15407440312832987,-0.15091106544154975,1.2388564432041287,1.7532771045059654,-0.019497207349173207,-0.014936260259137385,1.7580589862473186
444,447,200,1.181698438540161,-0.1405964385803431,-0.13491661718106407,1.2513625152086365,1.7560185111674689,-0.018938595875765352,-0.010722467588939633,1.763518375714952
201,445,449,1.171273346151759,-0.11324554968320366,-0.10722561027760591,1.2581617186151117,1.7648081759749989,-0.015038393721521548,-0.0062714856984990297,1.7732064659850169
445,448,449,1.1741267816627148,-0.11924110412162792,-0.11415660317624443,1.2727249162330505,1.8514706137016341,-0.0067834625873544052,0.00091631358719332368,1.8539491725245099
445,200,448,1.1699442202712942,-0.12707424140761781,-0.12008933719219428,1.2616140404612075,1.7601850890705608,-0.017659677566595894,-0.0075202208074346688,1.7695239923564896
449,448,180,1.1611582302296988,-0.11430508638546621,-0.10650697151439203,1.2698133560828651,1.7669467083300163,-0.016118074034689595,-0.0047490482645862198,1.7772148061014228
180,448,451,1.1607952532651167,-0.11354238887320545,-0.11406729710174446,1.2856993270397616,1.8451453665174711,-0.0030647961008274938,-0.0038573823288308995,1.8489440110327773
448,450,451,1.1576331656890373,-0.12625923051342003,-0.11658935150133942,1.2755564813291365,1.7638521388516533,-0.018945087058579085,-0.0048794581828058292,1.7754209499403295
448,200,450,1.1712250957839707,-0.12976565343196533,-0.12814324209270467,1.2785371342963749,1.8508905312443233,-0.0047297679220366928,-0.0022762477451684915,1.8538056297001875
451,450,203,1.1571478462887463,-0.12523952268487903,-0.12458066444443539,1.2923470822478151,1.8457002649227023,-0.0044171065138993437,-0.0034230627380522627,1.8499432562711355
200,452,450,1.1682148268317336,-0.14187030365919284,-0.13114101906618636,1.2664827158045426,1.7594662001173802,-0.021954586234407325,-0.0064022894421383314,1.769672994043658
452,453,450,1.168106713461772,-0.14164313903863679,-0.14000014163678864,1.2850972425547571,1.8519346917225918,-0.0051789390752533804,-0.0026961359970467114,1.8552058835548479
452,202,453,1.16473928766007,-0.15518532820377828,-0.14301042629666583,1.2729913056446183,1.7558034327542817,-0.024951887091081842,-0.007355086710793185,1.7675316182037553
450,453,203,1.1539755411973109,-0.13799745569958133,-0.1272042187236746,1.2817960385145573,1.7609153674831495,-0.021314879339864312,-0.0056515735815888257,1.7739125155245345
200,447,452,1.1842765785987743,-0.14601323647161291,-0.1436486309417484,1.2697089016151484,1.8589548768355186,-0.0050220153360961139,-0.0014376848222424909,1.8608600885758291
447,454,452,1.1811722067498138,-0.15849796507123015,-0.14722266987244303,1.2553353316225082,1.7529128084989338,-0.02527483429367483,-0.0090126222430688685,1.7612304182054888
447,153,454,1.2010477117869285,-0.16362562158924909,-0.16036748783938304,1.2587265466583268,1.8710628645561687,-0.004827526965163087,0.00013027379027802377,1.8718990924954024
